variable,type,var,f_1,f_2,f_3,f_4,metric,export_1,export_2
new_loy_kc_missex_reg,1,Misses Exclusive,New Customer,Loyalist,Kohl's Charge,Misses Exclusive,m_2,v156,Misses Exclusive_New Customer_Loyalist_Kohl's Charge_regular
new_loy_kc_ocbb_reg,1,Occasional Big Basket,New Customer,Loyalist,Kohl's Charge,Occasional Big Basket,m_2,v157,Occasional Big Basket_New Customer_Loyalist_Kohl's Charge_regular
new_loy_kc_odis_reg,1,One and Done In-Store,New Customer,Loyalist,Kohl's Charge,One and Done In-Store,m_2,v158,One and Done In-Store_New Customer_Loyalist_Kohl's Charge_regular
new_loy_kc_odol_reg,1,One and Done Online,New Customer,Loyalist,Kohl's Charge,One and Done Online,m_2,v159,One and Done Online_New Customer_Loyalist_Kohl's Charge_regular
ex_nloy_nkc_other_final,1,Sales - Other,Existing Customer,Non Loyalist,Non Kohl's Charge,Sales - Other,m_1,v160,Sales - Other_Existing Customer_Non Loyalist_Non Kohl's Charge_final
ex_nloy_nkc_dcp_final,1,Discount Cherry Picker,Existing Customer,Non Loyalist,Non Kohl's Charge,Discount Cherry Picker,m_1,v161,Discount Cherry Picker_Existing Customer_Non Loyalist_Non Kohl's Charge_final
ex_nloy_nkc_fsloy_final,1,Kohl's Full Store Loyalist,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Full Store Loyalist,m_1,v162,Kohl's Full Store Loyalist_Existing Customer_Non Loyalist_Non Kohl's Charge_final
ex_nloy_nkc_iseth_final,1,Kohl's In-Store Enthusiast,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's In-Store Enthusiast,m_1,v163,Kohl's In-Store Enthusiast_Existing Customer_Non Loyalist_Non Kohl's Charge_final
ex_nloy_nkc_kids_final,1,Kohl's Kids,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Kids,m_1,v164,Kohl's Kids_Existing Customer_Non Loyalist_Non Kohl's Charge_final
ex_nloy_nkc_mens_final,1,Kohl's Mens,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Mens,m_1,v165,Kohl's Mens_Existing Customer_Non Loyalist_Non Kohl's Charge_final
ex_nloy_nkc_oleth_final,1,Kohl's Online Enthusiast,Existing Customer,Non Loyalist,Non Kohl's Charge,Kohl's Online Enthusiast,m_1,v166,Kohl's Online Enthusiast_Existing Customer_Non Loyalist_Non Kohl's Charge_final
ex_nloy_nkc_missex_final,1,Misses Exclusive,Existing Customer,Non Loyalist,Non Kohl's Charge,Misses Exclusive,m_1,v167,Misses Exclusive_Existing Customer_Non Loyalist_Non Kohl's Charge_final
