week,dmanum,test1_imp,test1_spd,test2_clk_f11_f21_f32,test2_clk_f11_f21_f31,test2_clk_f11_f22_f32,test2_clk_f11_f22_f31,test2_clk_f12_f21_f32,test2_clk_f12_f21_f31,test2_clk_f12_f22_f32,test2_clk_f12_f22_f31
1/12/2015,651,58715.9273,1355.256426,0,340.2402591,882.2913292,538.3484234,0,320.4654466,646.6036764,215.572963
1/12/2015,652,144781.6652,3341.789718,0,838.964035,2175.552933,1327.458916,0,790.2033254,1594.394593,531.5595614
1/12/2015,656,47519.15701,1096.817266,0,275.3585106,714.0437379,435.6886527,0,259.3546347,523.3002873,174.4645099
1/12/2015,657,44177.5175,1019.686944,0,255.9947648,663.830794,405.0501796,0,241.1163125,486.5007937,162.1958263
1/12/2015,658,147077.433,3394.779667,0,852.2672842,2210.050148,1348.50811,0,802.7333879,1619.676521,539.9883725
1/12/2015,659,346187.1181,7990.545969,0,2006.04504,5201.959785,3174.084065,0,1889.453416,3812.353369,1271.010886
1/12/2015,661,19218.95003,443.6037497,0,111.367747,288.7923899,176.2126892,0,104.8950376,211.6468958,70.56153576
1/12/2015,662,40811.97613,942.0049284,0,236.4925152,613.2586902,374.1925576,0,222.7475365,449.438083,149.8393882
1/12/2015,669,127140.3705,2934.600746,0,736.7383023,1910.467085,1165.711267,0,693.9189669,1400.121479,466.7903182
1/12/2015,670,102181.671,2358.514504,0,592.1105193,1535.426697,936.8725658,0,557.6969713,1125.266127,375.1555428
1/12/2015,671,180682.4019,4170.435475,0,1046.997468,2715.013181,1656.621817,0,986.1458258,1989.748109,663.3675483
1/12/2015,673,65562.29363,1513.281384,0,379.9127902,985.1678388,601.1206675,0,357.8322046,721.9986475,240.7090981
1/12/2015,675,85145.97823,1965.303784,0,493.3940589,1279.440891,780.6774967,0,464.7179257,937.6621488,312.6097409
1/12/2015,676,60521.77279,1396.938194,0,350.7045635,909.4267573,554.9056698,0,330.3215642,666.4903816,222.2030459
1/12/2015,678,158722.7924,3663.572973,0,919.7484653,2385.038438,1455.280858,0,866.2925531,1747.919957,582.7438012
1/12/2015,679,145170.9619,3350.775301,0,841.2198865,2181.402677,1331.028259,0,792.3280665,1598.681687,532.9888473
1/12/2015,682,102137.0365,2357.484271,0,591.8518768,1534.756,936.4633264,0,557.4533612,1124.774595,374.9916694
1/12/2015,686,180016.7151,4155.070371,0,1043.140023,2705.010278,1650.518338,0,982.5125762,1982.417295,660.9235083
1/12/2015,687,48413.43019,1117.458505,0,280.5405413,727.4814797,443.8879706,0,264.235485,533.1483873,177.7477948
1/12/2015,691,136234.1726,3144.500076,0,789.4340143,2047.114553,1249.089564,0,743.5519966,1500.266128,500.1778156
1/12/2015,692,60371.62681,1393.472588,0,349.8345149,907.1705978,553.5290271,0,329.5020829,664.8369129,221.6517915
1/12/2015,693,190546.8742,4398.12309,0,1104.15897,2863.241077,1747.066154,0,1039.985093,2098.379691,699.5845276
1/12/2015,698,86190.00123,1989.401485,0,499.4438425,1295.128839,790.2498251,0,470.416095,949.1593547,316.4428257
1/12/2015,702,73080.28924,1686.808608,0,423.477201,1098.136545,670.0508755,0,398.8646455,804.7898734,268.3110906
1/12/2015,705,57953.04836,1337.647974,0,335.8196165,870.8279751,531.3538192,0,316.3017324,638.2025432,212.7720863
1/12/2015,709,97842.22754,2258.35329,0,566.9648148,1470.220313,897.085533,0,534.0127387,1077.478411,359.2234658
1/12/2015,710,39332.30529,907.8517862,0,227.9182899,591.0245058,360.6259071,0,214.6716463,433.1433458,144.4068413
1/12/2015,711,24828.62583,573.0839356,0,143.874047,373.0858439,227.6460951,0,135.5120669,273.4229277,91.15721551
1/12/2015,716,117796.0609,2718.919309,0,682.5909789,1770.055383,1080.036144,0,642.9186937,1297.218141,432.4830937
1/12/2015,717,37549.30522,866.697326,0,217.5863675,564.2323632,344.2781235,0,204.9402168,413.5082238,137.8606344
1/12/2015,718,120564.98,2782.830339,0,698.6359907,1811.662378,1105.423518,0,658.0311671,1327.710604,442.6490592
1/12/2015,722,92849.37838,2143.110438,0,538.0328304,1395.195567,851.3076224,0,506.7622854,1022.495125,340.8924381
1/12/2015,724,79866.57077,1843.446714,0,462.8015597,1200.110194,732.2722204,0,435.9034669,879.5231662,293.2266269
1/12/2015,725,87227.28945,2013.343737,0,505.4546002,1310.715588,799.7604042,0,476.0775066,960.5823945,320.2511841
1/12/2015,734,29708.56839,685.7207244,0,172.1517733,446.4140055,272.3887996,0,162.1462876,327.1628402,109.0737115
1/12/2015,736,30565.99835,705.5115635,0,177.1203092,459.298125,280.2503133,0,166.8260515,336.6052078,112.2217282
1/12/2015,737,19556.61342,451.3975547,0,113.3243998,293.8662684,179.3086218,0,106.7379695,215.3653824,71.80125217
1/12/2015,740,5270.955973,121.6619967,0,30.54352555,79.20370103,48.32778717,0,28.76833148,58.04591134,19.35208468
1/12/2015,743,66534.21487,1535.714863,0,385.5447669,999.7723544,610.0319168,0,363.13685,732.7018395,244.2774644
1/12/2015,744,179633.889,4146.234141,0,1040.921667,2699.257766,1647.008323,0,980.4231513,1978.201459,659.5179792
1/12/2015,745,17720.26334,409.0116916,0,102.6833308,266.2724649,162.4716881,0,96.71536098,195.1427483,65.05917301
1/12/2015,746,49155.84067,1134.594513,0,284.8425757,738.6372659,450.6949059,0,268.2874845,541.3241135,180.4735224
1/12/2015,747,9463.026557,218.421613,0,54.83525094,142.195596,86.76360337,0,51.64821832,104.2106979,34.74308876
1/12/2015,749,34859.4868,804.6120645,0,201.9997191,523.8139695,319.615999,0,190.2594666,383.8868492,127.9850835
1/12/2015,751,529144.159,12213.48371,0,3066.223323,7951.152692,4851.561354,0,2888.013986,5827.150729,1942.729673
1/12/2015,752,120168.1562,2773.671018,0,696.336522,1805.699529,1101.785161,0,655.8653438,1323.340619,441.1921379
1/12/2015,753,656615.7222,15155.72891,0,3804.880783,9866.596424,6020.309226,0,3583.740568,7230.919437,2410.73595
1/12/2015,754,22936.68079,529.4148531,0,132.9108229,344.6566463,210.2994283,0,125.1860269,252.5880593,84.21102192
1/12/2015,755,22217.37985,512.8122502,0,128.7427011,333.8481142,203.7043774,0,121.2601569,244.6668247,81.57013991
1/12/2015,756,36167.22267,834.7966757,0,209.5776355,543.4645833,331.6062302,0,197.3969534,398.2881685,132.7863786
1/12/2015,757,96334.16498,2223.544822,0,558.2260684,1447.559502,883.2585675,0,525.7818896,1060.871012,353.6866799
1/12/2015,758,51536.51947,1189.544343,0,298.6378576,774.4103919,472.5226234,0,281.2809827,567.5411169,189.2140807
1/12/2015,759,18779.20849,433.4538199,0,108.8195837,282.1846403,172.1808332,0,102.4949739,206.8042831,68.94704392
1/12/2015,760,24411.33356,563.4521703,0,141.4559701,366.8154269,223.8200697,0,133.2345289,268.8275355,89.62514517
1/12/2015,762,38004.10097,877.1947309,0,220.2217653,571.066324,348.4480069,0,207.4224448,418.5166196,139.5303971
1/12/2015,764,34169.50196,788.6861236,0,198.0014748,513.445954,313.2897385,0,186.4936008,376.2884554,125.4518343
1/12/2015,765,133228.4798,3075.123934,0,772.0169734,2001.949692,1221.531284,0,727.1472366,1467.166216,489.1425457
1/12/2015,766,8417.683015,194.2934314,0,48.77781518,126.4878046,77.17916736,0,45.94284159,92.69894958,30.9051556
1/12/2015,767,19969.94406,460.9378791,0,115.7195203,300.0771562,183.0983243,0,108.9938852,219.9171475,73.31877754
1/12/2015,770,385694.6597,8902.442487,0,2234.978769,5795.61747,3536.316661,0,2105.081484,4247.426489,1416.0611
1/12/2015,771,48382.13327,1116.736123,0,280.3591856,727.0111984,443.6010187,0,264.0646696,532.8037329,177.6328895
1/12/2015,773,25095.77212,579.2500942,0,145.4220754,377.1001014,230.0954779,0,136.9701236,276.3648512,92.13803142
1/12/2015,789,154762.6096,3572.165692,0,896.8004561,2325.53099,1418.97115,0,844.6782855,1704.308813,568.2041628
1/12/2015,790,251138.9,5796.682835,0,1455.270628,3773.723486,2302.615952,0,1370.690091,2765.643727,922.0455043
1/12/2015,798,1712.879116,39.53595788,0,9.925593635,25.73847441,15.70486602,0,9.348716715,18.86292161,6.288760876
1/12/2015,800,100645.877,2323.06595,0,583.2110779,1512.349181,922.7913391,0,549.3147667,1108.353339,369.5169421
1/12/2015,801,79343.50284,1831.373479,0,459.7705461,1192.250345,727.4763701,0,433.0486163,873.7629293,291.3062058
1/12/2015,802,21561.46507,497.6727002,0,124.941882,323.9920505,197.6904949,0,117.680242,237.4436244,79.16197745
1/12/2015,803,2317881.991,53500.38068,0,13431.39427,34829.51351,21251.9528,0,12650.75971,25525.45938,8510.002512
